,abbreviation,expansion,whole_set
2502,iadhs,inappropriate antidiuretic hormone syndrome,"['iadhs', 'inappropriate antidiuretic hormone syndrome']"
2503,iadl,instrumental activities of daily living,"['iadl', 'instrumental activities of daily living']"
2504,iapa,influenza-associated pulmonary aspergillosis,"['iapa', 'influenza-associated pulmonary aspergillosis']"
2505,iasd,interatrial septal defect,"['iasd', 'interatrial septal defect']"
2506,iba,ibalizumab,"['iba', 'ibalizumab']"
2507,ibc,iron binding capacity,"['ibc', 'iron binding capacity']"
2508,ibclc,international board-certified lactation consultant,"['ibclc', 'international board-certified lactation consultant']"
2509,ibd,inflammatory bowel disease,"['ibd', 'inflammatory bowel disease']"
2510,ibids,"ichthyosis, brittle hair, intellectual impairment, decreased fertility, and short stature","['and short stature', 'brittle hair', 'decreased fertility', 'ibids', 'ichthyosis', 'intellectual impairment']"
2511,ibm,inclusion body myositis,"['ibm', 'inclusion body myositis']"
2512,ibs,ichthyosis bullosa of siemens,"['ibs', 'ichthyosis bullosa of siemens', 'irritable bowel syndrome']"
2513,ibs,irritable bowel syndrome,"['ibs', 'ichthyosis bullosa of siemens', 'irritable bowel syndrome']"
2514,ibw,ideal body weight,"['ibw', 'ideal body weight']"
2515,ic,immune complex,"['ic', 'immune complex', 'inspiratory capacity', 'intercostal', 'intercourse', 'interstitial cystitis']"
2516,ic,inspiratory capacity,"['ic', 'immune complex', 'inspiratory capacity', 'intercostal', 'intercourse', 'interstitial cystitis']"
2517,ic,intercostal,"['ic', 'immune complex', 'inspiratory capacity', 'intercostal', 'intercourse', 'interstitial cystitis']"
2518,ic,intercourse,"['ic', 'immune complex', 'inspiratory capacity', 'intercostal', 'intercourse', 'interstitial cystitis']"
2519,ic,interstitial cystitis,"['ic', 'immune complex', 'inspiratory capacity', 'intercostal', 'intercourse', 'interstitial cystitis']"
2520,ic/pbs,interstitial cystitis/painful bladder syndrome,"['ic/pbs', 'interstitial cystitis/painful bladder syndrome']"
2521,ica,internal carotid artery,"['caio', 'ica', 'internal carotid artery', 'ionized calcium']"
2522,ica,ionized calcium,"['caio', 'ica', 'internal carotid artery', 'ionized calcium']"
2523,icce,intracapsular cataract extraction,"['icce', 'intracapsular cataract extraction']"
2524,icd,implantable cardiac defibrillator,"['icd', 'implantable cardiac defibrillator', 'implantable cardioverter defibrillator', 'implantable cardioverter-defibrillator', 'international classification of diseases']"
2525,icd,implantable cardioverter defibrillator,"['icd', 'implantable cardiac defibrillator', 'implantable cardioverter defibrillator', 'implantable cardioverter-defibrillator', 'international classification of diseases']"
2526,icd,implantable cardioverter-defibrillator,"['icd', 'implantable cardiac defibrillator', 'implantable cardioverter defibrillator', 'implantable cardioverter-defibrillator', 'international classification of diseases']"
2527,icd,international classification of diseases,"['icd', 'implantable cardiac defibrillator', 'implantable cardioverter defibrillator', 'implantable cardioverter-defibrillator', 'international classification of diseases']"
2528,icd-9,international classification of diseases book 9,"['9th revision', 'icd-9', 'international classification of diseases book 9', 'international statistical classification of diseases']"
2529,icd-9,"international statistical classification of diseases, 9th revision","['9th revision', 'icd-9', 'international classification of diseases book 9', 'international statistical classification of diseases']"
2530,icf,"immunodeficiency, centromere instability and facial anomalies","['centromere instability and facial anomalies', 'icf', 'immunodeficiency', 'intracellular fluid']"
2531,icf,intracellular fluid,"['centromere instability and facial anomalies', 'icf', 'immunodeficiency', 'intracellular fluid']"
2532,ich,intracranial hemorrhage,"['ich', 'intracranial hemorrhage']"
2533,icp,intracranial pressure,"['icp', 'intracranial pressure']"
2534,ics,intercostal space,"['ics', 'intercostal space']"
2535,icu,intensive care unit,"['icu', 'intensive care unit']"
2536,id,identification,"['id', 'identification', 'immunodiffusion', 'infectious disease', 'infectious diseases', 'intradermal']"
2537,id,immunodiffusion,"['id', 'identification', 'immunodiffusion', 'infectious disease', 'infectious diseases', 'intradermal']"
2538,id,infectious disease,"['id', 'identification', 'immunodiffusion', 'infectious disease', 'infectious diseases', 'intradermal']"
2539,id,infectious diseases,"['id', 'identification', 'immunodiffusion', 'infectious disease', 'infectious diseases', 'intradermal']"
2540,id,intradermal,"['id', 'identification', 'immunodiffusion', 'infectious disease', 'infectious diseases', 'intradermal']"
2541,idc,invasive ductal carcinoma,"['idc', 'invasive ductal carcinoma']"
2542,iddm,insulin dependent diabetes mellitus,"['iddm', 'insulin dependent diabetes mellitus', 'insulin-dependent diabetes mellitus']"
2543,iddm,insulin-dependent diabetes mellitus,"['iddm', 'insulin dependent diabetes mellitus', 'insulin-dependent diabetes mellitus']"
2544,idm,infant of diabetic mother,"['idm', 'infant of diabetic mother']"
2545,idv,indinavir,"['idv', 'indinavir']"
2546,ied,intermittent explosive disorder,"['ied', 'intermittent explosive disorder']"
2547,ief,isoelectric focusing,"['ief', 'isoelectric focusing']"
2548,if,immunofluorescence,"['if', 'immunofluorescence']"
2549,ifap,"ichthyosis follicularis, alopecia, and photophobia","['alopecia', 'and photophobia', 'ichthyosis follicularis', 'ifap']"
2550,ife,immunofixation electrophoresis,"['ife', 'immunofixation electrophoresis']"
2551,ifn,interferon,"['ifn', 'interferon']"
2552,ifup,infant follow-up program,"['ifup', 'infant follow-up program']"
2553,ig,immunoglobulin,"['ig', 'immunoglobulin', 'immunoglobulins']"
2554,ig,immunoglobulins,"['ig', 'immunoglobulin', 'immunoglobulins']"
2555,iga,iga immunoglobulin,"['iga', 'iga immunoglobulin', 'immunoglobulin a']"
2556,iga,immunoglobulin a,"['iga', 'iga immunoglobulin', 'immunoglobulin a']"
2557,ige,immunoglobulin e,"['ige', 'immunoglobulin e']"
2558,igf,insulin-like growth factor-i,"['igf', 'insulin-like growth factor-i']"
2559,igg,immunoglobulin g,"['igg', 'immunoglobulin g']"
2560,igm,immunoglobulin m,"['igm', 'immunoglobulin m']"
2561,igrt,image guided radiation therapy,"['igrt', 'image guided radiation therapy']"
2562,ih,inguinal hernia,"['ih', 'inguinal hernia']"
2563,iha,idiopathic hyperaldosteronism,"['idiopathic hyperaldosteronism', 'iha']"
2564,ihi,institute for healthcare improvement,"['ihi', 'institute for healthcare improvement']"
2565,ihss,idiopathic hypertrophic subaortic stenosis,"['idiopathic hypertrophic subaortic stenosis', 'ihss']"
2566,ii-xii,cranial nerves 2-12,"['cranial nerves 2-12', 'ii-xii']"
2567,iif,indirect immunofluorescence,"['iif', 'indirect immunofluorescence']"
2568,ij,injection,"['ij', 'inj', 'injection', 'injury', 'internal jugular']"
2569,ij,internal jugular,"['ij', 'inj', 'injection', 'injury', 'internal jugular']"
2570,il,indirect laryngoscopy,"['il', 'indirect laryngoscopy', 'interleukin', 'intralipid']"
2571,il,interleukin,"['il', 'indirect laryngoscopy', 'interleukin', 'intralipid']"
2572,il,intralipid,"['il', 'indirect laryngoscopy', 'interleukin', 'intralipid']"
2573,il-2r,interleukin-2 receptor,"['il-2r', 'interleukin-2 receptor']"
2574,ila,inferior lateral angle,"['ila', 'inferior lateral angle']"
2575,ilar,"international league of associations
for rheumatology","['ilar', 'international league of associations\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\nfor rheumatology']"
2576,ilbbb,incomplete left bundle branch block,"['ilbbb', 'incomplete left bundle branch block']"
2577,ild,interstitial lung disease,"['ild', 'interstitial lung disease']"
2578,ilm,internal limiting membrane,"['ilm', 'internal limiting membrane']"
2579,ilmi,inferolateral myocardial infarction,"['ilmi', 'inferolateral myocardial infarction']"
2580,im,internal mammary artery,"['im', 'internal mammary artery', 'internal medicine', 'intramedullary', 'intramuscular']"
2581,im,internal medicine,"['im', 'internal mammary artery', 'internal medicine', 'intramedullary', 'intramuscular']"
2582,im,intramedullary,"['im', 'internal mammary artery', 'internal medicine', 'intramedullary', 'intramuscular']"
2583,im,intramuscular,"['im', 'internal mammary artery', 'internal medicine', 'intramedullary', 'intramuscular']"
2584,ima,inferior mesenteric artery,"['ima', 'inferior mesenteric artery']"
2585,ime,independent medical exam,"['ime', 'independent medical exam']"
2586,imi,inferior myocardial infarction,"['imi', 'inferior myocardial infarction']"
2587,imp,impression,"['imp', 'impression']"
2588,imrt,intensity modulated radiation therapy,"['imrt', 'intensity modulated radiation therapy', 'intensity-modulated radiotherapy']"
2589,imrt,intensity-modulated radiotherapy,"['imrt', 'intensity modulated radiation therapy', 'intensity-modulated radiotherapy']"
2590,imv,intermittent mandatory ventilation,"['imv', 'intermittent mandatory ventilation']"
2591,in,inches,"['in', 'inches', 'intranasal']"
2592,in,intranasal,"['in', 'inches', 'intranasal']"
2593,inad,infantile neuroaxonal dystrophy,"['inad', 'infantile neuroaxonal dystrophy']"
2594,incr,increased,"['incr', 'increased']"
2595,ind.,daily,"['actinomycin d', 'd', 'd.o', 'd.o.', 'd/o', 'da', 'daily', 'day', 'days', 'degenerative arthritis', 'dextrose', 'diarrhea', 'died of', 'diet order', 'dioptres', 'disk', 'disorder', 'do', 'doctor of osteopathy', 'dopamine', 'doses', 'ged', 'give', 'ind.', 'left ventricle', 'left ventricular', 'leucovorin', 'lv', 'minute volume', 'n', 'n/v/d', 'nausea', 'neut', 'neutrophils', 'north', 'qd', 'quaque die', 'residual volume', 'right ventricle', 'right ventricular', 'rv', 'tach ventricular tachycardia', 'v', 'ventricular', 'versus', 'vessel', 'vision', 'vit d', 'vital signs', 'vitamin d', 'vomiting', 'vs', 'vx']"
2596,inf,infectious,"['inf', 'inf.', 'infectious', 'inferior', 'infusion', 'isnt', 'nasal', 'superior', 'temporal']"
2597,inf,inferior,"['inf', 'inf.', 'infectious', 'inferior', 'infusion', 'isnt', 'nasal', 'superior', 'temporal']"
2598,inf,infusion,"['inf', 'inf.', 'infectious', 'inferior', 'infusion', 'isnt', 'nasal', 'superior', 'temporal']"
2599,inf.,infusion,"['inf', 'inf.', 'infectious', 'inferior', 'infusion', 'isnt', 'nasal', 'superior', 'temporal']"
2600,ing,inguinal,"['ing', 'inguinal']"
2601,ingred,ingredients,"['ingred', 'ingredients']"
2602,inh,inhalational,"['inh', 'inhalational', 'inhaler', 'inhibitor', 'isabella nursing home', 'isoniazid']"
2603,inh,inhaler,"['inh', 'inhalational', 'inhaler', 'inhibitor', 'isabella nursing home', 'isoniazid']"
2604,inh,inhibitor,"['inh', 'inhalational', 'inhaler', 'inhibitor', 'isabella nursing home', 'isoniazid']"
2605,inh,isabella nursing home,"['inh', 'inhalational', 'inhaler', 'inhibitor', 'isabella nursing home', 'isoniazid']"
2606,inh,isoniazid,"['inh', 'inhalational', 'inhaler', 'inhibitor', 'isabella nursing home', 'isoniazid']"
2607,inj,injection,"['ij', 'inj', 'injection', 'injury', 'internal jugular']"
2608,inj,injury,"['ij', 'inj', 'injection', 'injury', 'internal jugular']"
2609,ino,inhaled nitric oxide,"['inhaled nitric oxide', 'ino', 'internuclear ophthalmoplegia']"
2610,ino,internuclear ophthalmoplegia,"['inhaled nitric oxide', 'ino', 'internuclear ophthalmoplegia']"
2611,inpt,inpatient,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2612,inr,international normalized ratio,"['inr', 'international normalized ratio', 'p.t.', 'partial thromboplastin time', 'partial thromboplastin time-prothrombin time', 'pat-pt', 'patellar tendon suspension', 'patient', 'patients', 'physical therapy', 'point', 'post transplant', 'posterior tibial', 'posterior tibialis', 'preterm', 'primary tumor', 'prothrombin', 'prothrombin time', 'prothrombin time/international normalized ratio', 'pt', 'pt-inr', 'pts', 'ptt', 'ptt-pt', 'pttctr', 'thought process', 'toilet paper', 'total parenteral', 'total protein', 'tp', 'tprot', 'transverse process']"
2613,inr,prothrombin time,"['inr', 'international normalized ratio', 'p.t.', 'partial thromboplastin time', 'partial thromboplastin time-prothrombin time', 'pat-pt', 'patellar tendon suspension', 'patient', 'patients', 'physical therapy', 'point', 'post transplant', 'posterior tibial', 'posterior tibialis', 'preterm', 'primary tumor', 'prothrombin', 'prothrombin time', 'prothrombin time/international normalized ratio', 'pt', 'pt-inr', 'pts', 'ptt', 'ptt-pt', 'pttctr', 'thought process', 'toilet paper', 'total parenteral', 'total protein', 'tp', 'tprot', 'transverse process']"
2614,insp/min,breaths per minute,"['beats per minute', 'bpm', 'breaths per minute', 'insp/min']"
2615,int,internal,"['int', 'internal', 'interval']"
2616,int,interval,"['int', 'internal', 'interval']"
2617,int rot,internal rotation,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2618,intrabd,intra-abdominal,"['intra-abdominal', 'intrabd']"
2619,intub,intubation,"['intub', 'intubation']"
2620,inver,inversion,"['inver', 'inversion']"
2621,io,inferior oblique,"['i&o', 'i.o', 'i/o', 'inferior oblique', 'ins and outs', 'intake and output', 'intake/output', 'intraosseous', 'io']"
2622,io,intake and output,"['i&o', 'i.o', 'i/o', 'inferior oblique', 'ins and outs', 'intake and output', 'intake/output', 'intraosseous', 'io']"
2623,io,intake/output,"['i&o', 'i.o', 'i/o', 'inferior oblique', 'ins and outs', 'intake and output', 'intake/output', 'intraosseous', 'io']"
2624,io,intraosseous,"['i&o', 'i.o', 'i/o', 'inferior oblique', 'ins and outs', 'intake and output', 'intake/output', 'intraosseous', 'io']"
2625,iofb,intraocular foreign body,"['intraocular foreign body', 'iofb']"
2626,iol,intraocular lens,"['intraocular lens', 'iol']"
2627,iop,intensive outpatient program,"['intensive outpatient program', 'intraocular pressure', 'iop']"
2628,iop,intraocular pressure,"['intensive outpatient program', 'intraocular pressure', 'iop']"
2629,ios,intake/outputs,"['i&os', 'i.os', 'i/os', 'intake/outputs', 'ios']"
2630,ip,iliopsoas,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2631,ip,incontinentia pigmenti,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2632,ip,inpatient,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2633,ip,interphalangeal,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2634,ip,interphalangeal joint,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2635,ip,intraperitoneal,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2636,ip joint,interphalangeal joint,"['iliopsoas', 'incontinentia pigmenti', 'inpatient', 'inpt', 'interphalangeal', 'interphalangeal joint', 'intraperitoneal', 'ip', 'ip joint']"
2637,ipap,inspiratory positive airway pressure,"['inspiratory positive airway pressure', 'ipap']"
2638,ipf,idiopathic pulmonary fibrosis,"['idiopathic pulmonary fibrosis', 'ipf']"
2639,ipi,international prognostic index,"['international prognostic index', 'ipi']"
2640,ippb,intermittent positive pressure breathing,"['intermittent positive pressure breathing', 'ippb']"
2641,ipv,inactivated polio vaccine,"['inactivated polio vaccine', 'intrapulmonary percussive ventilation', 'ipv', 'na', 'na+', 'nan', 'narcotics anonymous', 'normal axis', 'not applicable', 'not available', 'nursing assistant', 'sodium']"
2642,ipv,intrapulmonary percussive ventilation,"['inactivated polio vaccine', 'intrapulmonary percussive ventilation', 'ipv', 'na', 'na+', 'nan', 'narcotics anonymous', 'normal axis', 'not applicable', 'not available', 'nursing assistant', 'sodium']"
2643,ipv,,"['inactivated polio vaccine', 'intrapulmonary percussive ventilation', 'ipv', 'na', 'na+', 'nan', 'narcotics anonymous', 'normal axis', 'not applicable', 'not available', 'nursing assistant', 'sodium']"
2644,iq,intelligence quotient,"['intelligence quotient', 'iq']"
2645,ir,incomplete response,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2646,ir,instant-release,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2647,ir,insulin resistance,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2648,ir,intermediate release,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2649,ir,internal rotation,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2650,ir,interventional radiology,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2651,ir,irregular,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2652,irb,indications risks benefits,"['indications risks benefits', 'institutional review board', 'irb']"
2653,irb,institutional review board,"['indications risks benefits', 'institutional review board', 'irb']"
2654,irbbb,incomplete right bundle branch block,"['incomplete right bundle branch block', 'irbbb']"
2655,ird,infantile refsum disease,"['infantile refsum disease', 'ird']"
2656,ire,internal rotation in extension,"['internal rotation in extension', 'ire']"
2657,irf,internal rotation in flexion,"['internal rotation in flexion', 'irf']"
2658,irma,intraretinal microvascular abnormality,"['intraretinal microvascular abnormality', 'irma']"
2659,irreg,irregular,"['incomplete response', 'instant-release', 'insulin resistance', 'int rot', 'intermediate release', 'internal rotation', 'interventional radiology', 'ir', 'irreg', 'irregular']"
2660,irrig,irrigation,"['irrig', 'irrigation']"
2661,irv,inspiratory reserve volume,"['inspiratory reserve volume', 'irv']"
2662,is,incentive spirometer,"['incentive spirometer', 'incentive spirometry', 'infantile spasm', 'is']"
2663,is,incentive spirometry,"['incentive spirometer', 'incentive spirometry', 'infantile spasm', 'is']"
2664,is,infantile spasm,"['incentive spirometer', 'incentive spirometry', 'infantile spasm', 'is']"
2665,ishlt,international society for heart and lung transplantation,"['international society for heart and lung transplantation', 'ishlt']"
2666,isnt,"inferior, superior, nasal, temporal","['inf', 'inf.', 'infectious', 'inferior', 'infusion', 'isnt', 'nasal', 'superior', 'temporal']"
2667,iso,in the setting of,"['in the setting of', 'iso']"
2668,it,information technology,"['information technology', 'intrathecal', 'it']"
2669,it,intrathecal,"['information technology', 'intrathecal', 'it']"
2670,itp,idiopathic thrombocytopenia,"['idiopathic thrombocytopenia', 'idiopathic thrombocytopenic purpura', 'intrathecal pump', 'itp']"
2671,itp,idiopathic thrombocytopenic purpura,"['idiopathic thrombocytopenia', 'idiopathic thrombocytopenic purpura', 'intrathecal pump', 'itp']"
2672,itp,intrathecal pump,"['idiopathic thrombocytopenia', 'idiopathic thrombocytopenic purpura', 'intrathecal pump', 'itp']"
2673,itt,insulin tolerance test,"['insulin tolerance test', 'intention to treat', 'itt']"
2674,itt,intention to treat,"['insulin tolerance test', 'intention to treat', 'itt']"
2675,iu,international unit,"['international unit', 'international units', 'iu']"
2676,iu,international units,"['international unit', 'international units', 'iu']"
2677,iuc,intrauterine catheter,"['intrauterine catheter', 'iuc']"
2678,iud,intrauterine device,"['intrauterine device', 'iud']"
2679,iufd,intrauterine fetal demise,"['intrauterine fetal demise', 'iufd']"
2680,iugr,intrauterine growth restriction,"['intrauterine growth restriction', 'iugr']"
2681,iup,intrauterine pregnancy,"['intrauterine pregnancy', 'iup']"
2682,iupc,intrauterine pressure catheter,"['intrauterine pressure catheter', 'iupc']"
2683,iv,fluids intravenous fluids,"['fluids intravenous fluids', 'intravenous', 'iv']"
2684,iv,intravenous,"['fluids intravenous fluids', 'intravenous', 'iv']"
2685,ivc,inferior vena cava,"['inferior vena cava', 'ivc']"
2686,ivcd,interventricular conduction delay,"['interventricular conduction delay', 'intraventricular conduction delay', 'ivcd']"
2687,ivcd,intraventricular conduction delay,"['interventricular conduction delay', 'intraventricular conduction delay', 'ivcd']"
2688,ivd,intravenous drip,"['intravenous drip', 'ivd']"
2689,ivda,intravenous drug abuse,"['intravenous drug abuse', 'ivda']"
2690,ivdu,intravenous drug use,"['intravenous drug use', 'ivdu']"
2691,ivf,in vitro fertilization,"['in vitro fertilization', 'intravenous fluid', 'intravenous fluids', 'ivf', 'ivfs']"
2692,ivf,intravenous fluid,"['in vitro fertilization', 'intravenous fluid', 'intravenous fluids', 'ivf', 'ivfs']"
2693,ivf,intravenous fluids,"['in vitro fertilization', 'intravenous fluid', 'intravenous fluids', 'ivf', 'ivfs']"
2694,ivfs,intravenous fluids,"['in vitro fertilization', 'intravenous fluid', 'intravenous fluids', 'ivf', 'ivfs']"
2695,ivh,intraventricular hemorrhage,"['intraventricular hemorrhage', 'ivh']"
2696,ivig,intravenous immune globulin,"['intravenous immune globulin', 'intravenous immunoglobulin', 'ivig']"
2697,ivig,intravenous immunoglobulin,"['intravenous immune globulin', 'intravenous immunoglobulin', 'ivig']"
2698,ivp,intravenous push,"['intravenous push', 'intravenous pyelogram', 'ivp']"
2699,ivp,intravenous pyelogram,"['intravenous push', 'intravenous pyelogram', 'ivp']"
2700,ivpb,intravenous piggyback,"['intravenous piggyback', 'ivpb']"
2701,j,jackson-pratt,"['j', 'jackson pratt', 'jackson-pratt', 'jejunal', 'joules', 'jp']"
2702,j,jejunal,"['j', 'jackson pratt', 'jackson-pratt', 'jejunal', 'joules', 'jp']"
2703,j,joules,"['j', 'jackson pratt', 'jackson-pratt', 'jejunal', 'joules', 'jp']"
2704,j-tube,jejunal feeding tube,"['j-tube', 'jejunal feeding tube', 'jejunostomy tube']"
2705,j-tube,jejunostomy tube,"['j-tube', 'jejunal feeding tube', 'jejunostomy tube']"
2706,jas,juvenile ankylosing spondylitis,"['jas', 'juvenile ankylosing spondylitis']"
2707,jbs,johanson-blizzard syndrome,"['jbs', 'johanson-blizzard syndrome']"
2708,jca,juvenile chronic arthritis,"['jca', 'juvenile chronic arthritis']"
2709,jcaho,joint commission on accreditation of healthcare organizations,"['jcaho', 'joint commission on accreditation of healthcare organizations']"
2710,jdm,juvenile dermatomyositis,"['jdm', 'juvenile dermatomyositis']"
2711,je,japanese encephalitis,"['japanese encephalitis', 'je']"
2712,jhd,juvenile huntington's disease,"['jhd', 'juvenile huntingtons disease']"
2713,jia,juvenile idiopathic arthritis,"['jia', 'juvenile idiopathic arthritis']"
2714,jmml,juvenile myelomonocytic leukemia,"['jmml', 'juvenile myelomonocytic leukemia']"
2715,jo-1,jo-1 antibody,"['jo-1', 'jo-1 antibody']"
2716,jodm,juvenile onset diabetes mellitus,"['jodm', 'juvenile onset diabetes mellitus']"
2717,jp,jackson pratt,"['j', 'jackson pratt', 'jackson-pratt', 'jejunal', 'joules', 'jp']"
2718,jp,jackson-pratt,"['j', 'jackson pratt', 'jackson-pratt', 'jejunal', 'joules', 'jp']"
2719,jpa,juvenile pilocytic astrocytoma,"['jpa', 'juvenile pilocytic astrocytoma']"
2720,jr,junctional rhythm,"['jr', 'junctional rhythm', 'junior']"
2721,jr,junior,"['jr', 'junctional rhythm', 'junior']"
2722,jra,juvenile reactive arthritis,"['jra', 'juvenile reactive arthritis', 'juvenile rheumatoid arthritis']"
2723,jra,juvenile rheumatoid arthritis,"['jra', 'juvenile reactive arthritis', 'juvenile rheumatoid arthritis']"
2724,jsle,juvenile systemic lupus erythematosus,"['jsle', 'juvenile systemic lupus erythematosus']"
2725,jvd,jugular venous distention,"['jugular venous distention', 'jvd']"
2726,jvp,jugular venous pressure,"['jugular venous pressure', 'jvp']"
2727,jws,jackson-weiss syndrome,"['jackson-weiss syndrome', 'jws']"
2728,k,keratometry,"['k', 'k+', 'keratometry', 'potassium', 'thousand', 'vitamin k']"
2729,k,potassium,"['k', 'k+', 'keratometry', 'potassium', 'thousand', 'vitamin k']"
2730,k,thousand,"['k', 'k+', 'keratometry', 'potassium', 'thousand', 'vitamin k']"
2731,k,vitamin k,"['k', 'k+', 'keratometry', 'potassium', 'thousand', 'vitamin k']"
2732,k+,potassium,"['k', 'k+', 'keratometry', 'potassium', 'thousand', 'vitamin k']"
2733,k-wb,potassium whole blood,"['k-wb', 'potassium whole blood']"
2734,k-wire,kirschner wire,"['k-wire', 'kirschner wire']"
2735,kb,kleihauer-betke,"['kb', 'kleihauer-betke']"
2736,kc,keratoconus,"['kc', 'keratoconus']"
2737,kcal,kilocalorie,"['kcal', 'kilocalorie', 'kilocalories']"
2738,kcal,kilocalories,"['kcal', 'kilocalorie', 'kilocalories']"
2739,kcl,potassium chloride,"['kcl', 'potassium chloride']"
2740,kcs,keratoconjunctivitis sicca,"['kcs', 'keratoconjunctivitis sicca']"
2741,kct,kaolin clotting time,"['kaolin clotting time', 'kct']"
2742,kdna,kinetoplast dna,"['kdna', 'kinetoplast dna']"
2743,kfd,kyasanur forest disease,"['kfd', 'kyasanur forest disease']"
2744,kg,kilogram,"['kg', 'kilogram']"
2745,kgs,kilograms,"['kgs', 'kilograms']"
2746,khz,kilohertz,"['khz', 'kilohertz']"
2747,ki,knee immobilizer,"['ki', 'knee immobilizer']"
2748,kj,knee jerk,"['kj', 'knee jerk']"
2749,km/h,kilometers per hour,"['kilometers per hour', 'km/h']"
2750,kp,keratic precipitates,"['keratic precipitates', 'kp']"
2751,ks,kawasaki syndrome,"['kawasaki syndrome', 'ks']"
2752,kss,kearns-sayre syndrome,"['kearns-sayre syndrome', 'kearns–sayre syndrome', 'kss']"
2753,kss,kearns–sayre syndrome,"['kearns-sayre syndrome', 'kearns–sayre syndrome', 'kss']"
2754,ktr,kidney transplant recipient,"['kidney transplant recipient', 'ktr']"
2755,kts,klippel-trenaunay syndrome,"['klippel-trenaunay syndrome', 'klippel–trenaunay syndrome', 'kts']"
2756,kts,klippel–trenaunay syndrome,"['klippel-trenaunay syndrome', 'klippel–trenaunay syndrome', 'kts']"
2757,ktw,klippel–trenaunay–weber,"['klippel–trenaunay–weber', 'ktw']"
2758,ktw syndrome,klippel-trenaunay-weber syndrome,"['klippel-trenaunay-weber syndrome', 'ktw syndrome']"
2759,kub,"kidney, ureter, bladder","['bladder', 'bladder x-ray', 'kidney', 'kidneys', 'kidneys ureters and bladder', 'kub', 'ureter', 'ureters']"
2760,kub,"kidney, ureter, bladder x-ray","['bladder', 'bladder x-ray', 'kidney', 'kidneys', 'kidneys ureters and bladder', 'kub', 'ureter', 'ureters']"
2761,kub,kidneys ureters and bladder,"['bladder', 'bladder x-ray', 'kidney', 'kidneys', 'kidneys ureters and bladder', 'kub', 'ureter', 'ureters']"
2762,kub,"kidneys, ureters, bladder","['bladder', 'bladder x-ray', 'kidney', 'kidneys', 'kidneys ureters and bladder', 'kub', 'ureter', 'ureters']"
2763,kvo,keep vein open,"['keep vein open', 'kvo']"
2764,ky,kentucky,"['kentucky', 'ky']"
2765,l,avl,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2766,l,left,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
